Benchmark                                                Mode  Cnt         Score         Error  Units
GroupBy.groupBy_10_percentage_10000_rec_collection       avgt   25    184560.784 ±    4723.368  ns/op
GroupBy.groupBy_10_percentage_1000_rec_sequence          avgt   25     10760.529 ±     241.496  ns/op
GroupBy.groupBy_10_percentage_1000_rec_stream            avgt   25     18203.065 ±     468.895  ns/op
GroupBy.groupBy_10_percentage_100_rec_collection         avgt   25      1299.305 ±      43.034  ns/op
GroupBy.groupBy_10_percentage_100_rec_sequence           avgt   25       952.808 ±      23.856  ns/op
GroupBy.groupBy_10_percentage_100_rec_stream             avgt   25      1637.522 ±      51.577  ns/op
GroupBy.groupBy_10_percentage_50000_rec_collection       avgt   25   1316778.315 ±   73090.318  ns/op
GroupBy.groupBy_10_percentage_50000_rec_sequence         avgt   25   1194007.054 ±   57412.173  ns/op
GroupBy.groupBy_10_percentage_50000_rec_stream           avgt   25   1745043.344 ±  103276.231  ns/op
GroupBy.groupBy_90_percentage_100000_rec_collection      avgt   25  24236694.080 ± 1245731.152  ns/op
GroupBy.groupBy_90_percentage_100000_rec_sequence        avgt   25  30750340.496 ± 2059811.862  ns/op
GroupBy.groupBy_90_percentage_100000_rec_stream          avgt   25  35087292.752 ± 1876457.412  ns/op
GroupBy.groupBy_90_percentage_10000_rec_collection       avgt   25    488689.747 ±   17820.975  ns/op
GroupBy.groupBy_90_percentage_10000_rec_sequence         avgt   25    542844.394 ±   27088.424  ns/op
GroupBy.groupBy_90_percentage_10000_rec_stream           avgt   25    499701.412 ±   13635.889  ns/op
GroupBy.groupBy_90_percentage_1000_rec_collection        avgt   25     42670.945 ±    1195.608  ns/op
GroupBy.groupBy_90_percentage_1000_rec_sequence          avgt   25     42229.670 ±    2497.385  ns/op
GroupBy.groupBy_90_percentage_1000_rec_stream            avgt   25     35090.407 ±     884.575  ns/op
GroupBy.groupBy_90_percentage_100_rec_collection         avgt   25      3395.126 ±     112.870  ns/op
GroupBy.groupBy_90_percentage_100_rec_sequence           avgt   25      2891.244 ±      99.492  ns/op
GroupBy.groupBy_90_percentage_100_rec_stream             avgt   25      2995.164 ±     101.622  ns/op
GroupBy.groupBy_90_percentage_50000_rec_collection       avgt   25   3400801.665 ±  160710.932  ns/op
GroupBy.groupBy_90_percentage_50000_rec_sequence         avgt   25   3532569.319 ±  208137.516  ns/op
GroupBy.groupBy_90_percentage_50000_rec_stream           avgt   25   4377895.409 ±  222750.050  ns/op
Map1.map1_100000_rec_collection                          avgt   25    971765.097 ±   42322.232  ns/op
Map1.map1_100000_rec_sequence                            avgt   25    679304.193 ±   33940.623  ns/op
Map1.map1_100000_rec_stream                              avgt   25    788205.386 ±   40561.506  ns/op
Map1.map1_10000_rec_collection                           avgt   25     74853.034 ±    1818.011  ns/op
Map1.map1_10000_rec_sequence                             avgt   25     49987.451 ±    1553.263  ns/op
Map1.map1_10000_rec_stream                               avgt   25     62504.812 ±    2454.270  ns/op
Map1.map1_1000_rec_collection                            avgt   25      7157.366 ±     166.485  ns/op
Map1.map1_1000_rec_sequence                              avgt   25      4343.861 ±      92.727  ns/op
Map1.map1_1000_rec_stream                                avgt   25      5620.303 ±     144.511  ns/op
Map1.map1_100_rec_collection                             avgt   25       613.922 ±      13.672  ns/op
Map1.map1_100_rec_sequence                               avgt   25       394.918 ±      10.718  ns/op
Map1.map1_100_rec_stream                                 avgt   25       500.449 ±      13.614  ns/op
Map1.map1_50000_rec_collection                           avgt   25    367087.609 ±   11304.932  ns/op
Map1.map1_50000_rec_sequence                             avgt   25    243726.776 ±   11130.073  ns/op
Map1.map1_50000_rec_stream                               avgt   25    280958.177 ±   10340.171  ns/op
Map10.map10_100000_rec_collection                        avgt   25   6150541.837 ±  203141.134  ns/op
